Time,Heading angle,CoG position/X,CoG position/Y,CoG position/Yaw,CoG Acceleration/X,CoG Acceleration/Y,Speed/X,Speed/Y,Slip angle
s,бу,m,m,бу,m/s?,m/s?,km/h,km/h,бу
8.202,-179.357,-152.467,-103.974,-179.411,0.416012,0.0159282,17.2724,0.0162975,0.0540578
8.3015,-179.339,-152.946,-103.979,-179.393,0.427016,0.0161971,17.4228,0.0164119,0.0539673
8.402,-179.32,-153.435,-103.985,-179.374,0.420344,0.0164727,17.5761,0.0165278,0.0538743
8.502,-179.301,-153.925,-103.991,-179.355,0.414002,0.0167488,17.7264,0.0166434,0.053791
8.6015,-179.282,-154.417,-103.997,-179.336,0.40838,0.0169995,17.8735,0.0167542,0.0537032
8.7025,-179.262,-154.92,-104.003,-179.316,0.407365,0.0172777,18.0223,0.0168645,0.0536103
8.802,-179.244,-155.421,-104.01,-179.297,1.29942,0.0175418,18.2591,0.0168907,0.0529973
8.9015,-179.289,-155.935,-104.016,-179.286,2.0395,-0.114503,18.946,-0.000867613,-0.00262599
9.002,-179.39,-156.472,-104.022,-179.312,0.837901,-0.0786711,19.461,-0.026707,-0.0786961
9.102,-179.454,-157.016,-104.028,-179.348,0.48123,-0.0404541,19.6788,-0.0363377,-0.105823
9.2015,-179.486,-157.562,-104.033,-179.386,0.466598,-0.027539,19.8549,-0.034622,-0.0999122
9.3025,-179.517,-158.121,-104.038,-179.425,0.433485,-0.0355898,20.0111,-0.0323146,-0.0925211
9.402,-179.556,-158.676,-104.042,-179.463,0.430765,-0.0398607,20.1597,-0.0325778,-0.0925831
9.5015,-179.596,-159.236,-104.046,-179.502,0.398967,-0.0393618,20.3072,-0.0331406,-0.0934966
9.6015,-179.635,-159.802,-104.05,-179.541,0.412911,-0.039353,20.4547,-0.033339,-0.0933769
9.702,-179.674,-160.375,-104.054,-179.581,0.343263,-0.039977,20.5979,-0.0334724,-0.0930979
9.802,-179.713,-160.949,-104.057,-179.621,0.41994,-0.0406596,20.7526,-0.0336421,-0.092872
9.902,-179.753,-161.528,-104.059,-179.661,0.405398,-0.0411843,20.8988,-0.0338212,-0.0927128
